Activity	HOR RANGE	VER RANGE	HOR MEAN	VER MEAN	HOR STD DEV	VER STD DEV	
CLASSIFIED/TRAVELLING	0.9663131	1.9079647	0.30793047	9.318316	0.2098037	0.34669268	
CLASSIFIED/TRAVELLING	0.759156	2.4126844	0.29088247	9.325818	0.15051489	0.32759738	
CLASSIFIED/TRAVELLING	0.83903354	1.1862164	0.28454718	9.368435	0.14110067	0.23509322	
CLASSIFIED/TRAVELLING	1.7547692	2.4669085	0.83630806	9.42412	0.33235785	0.41147316	
CLASSIFIED/TRAVELLING	0.23352323	0.44549942	0.07789298	9.401121	0.04659782	0.071580686	
CLASSIFIED/TRAVELLING	0.9368061	0.4732027	0.16164757	9.407872	0.1985737	0.06383425	
CLASSIFIED/TRAVELLING	1.5809395	2.718933	0.48368597	9.407161	0.24699453	0.36723644	
CLASSIFIED/TRAVELLING	1.5024617	2.1405344	0.43009257	9.377358	0.2682367	0.40524453	
CLASSIFIED/TRAVELLING	1.7066526	2.5405698	0.35492128	9.378727	0.23552723	0.4613843	
CLASSIFIED/TRAVELLING	1.312549	2.5279837	0.44614595	9.406754	0.27386713	0.44310924	
CLASSIFIED/TRAVELLING	0.68620604	0.49666023	0.42489994	9.914597	0.14816436	0.06785968	
CLASSIFIED/TRAVELLING	0.88416576	2.0314035	0.39317513	9.883414	0.23190068	0.38646275	
CLASSIFIED/TRAVELLING	1.5376263	1.2165194	0.39278665	9.947565	0.30222234	0.1980283	
CLASSIFIED/TRAVELLING	0.1882292	0.42158127	0.06748349	9.893554	0.037814863	0.0550395	
CLASSIFIED/TRAVELLING	0.1323418	0.185318	0.056760482	9.900554	0.028912624	0.038545623	
CLASSIFIED/TRAVELLING	0.13277885	0.21400928	0.05675109	9.885128	0.02709588	0.041852143	
CLASSIFIED/TRAVELLING	0.10173217	0.22185612	0.052203976	9.89179	0.023776263	0.04196663	
CLASSIFIED/TRAVELLING	2.5720925	2.6351109	0.917083	9.720774	0.66253406	0.3317498	
CLASSIFIED/TRAVELLING	1.367208	0.8032322	0.40569228	9.783125	0.36355543	0.12907076	
CLASSIFIED/TRAVELLING	1.390605	3.3055754	0.54364055	9.799905	0.28848815	0.58797735	
CLASSIFIED/TRAVELLING	1.517614	4.588739	0.4702986	9.78752	0.2902407	0.6888568	
CLASSIFIED/TRAVELLING	1.0825131	4.350688	0.38501877	9.773726	0.20827453	0.7543069	
CLASSIFIED/TRAVELLING	1.1792238	4.5005646	0.3991525	9.847671	0.24740686	0.7982017	
