Timestamp,X-accel,Y-accel,Z-accel,X-mag,Y-mag,Z-mag,X-orien,Y-orien,Z-orien
 1297148191895,2.6014864,7.504812,0.9942854,21.875,116.25,69.0625,139.0,-70.0,19.0
 1297148191945,1.7570249,7.504812,2.4516625,21.125,117.3125,67.75,149.0,-68.0,13.0
 1297148192009,2.9556155,8.430995,1.3075534,20.625,116.8125,68.0,140.0,-67.0,22.0
 1297148192045,4.2904096,8.281172,0.84446156,20.125,116.5625,68.25,126.0,-62.0,27.0
 1297148192096,4.099725,8.430995,1.607201,19.375,117.0625,68.25,122.0,-62.0,26.0
 1297148192145,2.9556155,12.108489,2.8330324,17.375,116.8125,68.0,140.0,-71.0,13.0
 1297148192224,6.851035,9.152874,5.284695,17.375,116.5625,67.75,89.0,-47.0,33.0
 1297148192282,5.8567495,7.0553403,4.7535014,17.125,117.0625,67.75,72.0,-45.0,33.0
 1297148192295,3.8273177,6.4424243,3.173541,17.875,117.5625,68.0,77.0,-52.0,28.0
 1297148192345,1.920469,7.668256,3.5276701,18.375,117.3125,68.75,118.0,-62.0,13.0
 1297148192395,2.1792557,7.6273947,3.5276701,18.625,116.8125,69.0625,124.0,-61.0,15.0
 1297148192445,3.3778462,6.742072,3.1463003,19.125,117.8125,69.5625,103.0,-56.0,24.0
 1297148192494,3.5957718,7.205164,2.3426998,20.125,117.0625,70.3125,103.0,-59.0,25.0
 1297148192552,3.445948,7.6273947,1.7570249,20.625,116.5625,70.5625,117.0,-63.0,24.0
 1297148192595,4.4810944,7.6954966,2.152015,20.375,116.8125,70.0625,111.0,-57.0,29.0
 1297148192646,4.5219555,8.499097,1.607201,19.875,115.25,70.8125,111.0,-61.0,28.0
 1297148192696,4.5219555,10.038197,2.4925237,19.875,115.25,71.3125,119.0,-63.0,24.0
 1297148192744,6.0882955,10.419566,2.982856,20.125,115.25,71.0625,112.0,-57.0,29.0
 1297148192795,4.7943625,12.639683,3.445948,20.625,115.25,70.8125,121.0,-65.0,20.0
 1297148192845,2.7240696,13.715691,3.636633,21.375,116.0,71.5625,169.0,-74.0,4.0
 1297148192895,-1.3075534,7.014479,3.0237172,21.375,117.0625,71.5625,235.0,-65.0,-10.0
 1297148192945,0.14982383,7.3958488,4.0180025,21.625,117.8125,72.0625,253.0,-61.0,1.0
 1297148192995,2.6423476,7.246025,3.0237172,20.875,117.5625,72.3125,164.0,-61.0,19.0
 1297148193045,4.2495484,7.7363577,0.53119355,19.125,117.5625,72.0625,125.0,-61.0,29.0
 1297148193134,1.607201,7.3141265,1.56634,18.875,117.3125,72.5625,150.0,-73.0,12.0
 1297148193145,1.607201,7.164303,1.7978859,18.875,116.5625,72.5625,151.0,-71.0,12.0
 1297148193194,3.636633,8.730643,0.88532263,17.875,116.0,72.3125,138.0,-67.0,23.0
 1297148193245,4.7126403,9.00305,0.88532263,17.625,115.75,73.125,127.0,-62.0,28.0
 1297148193295,4.5219555,9.847511,2.2609777,17.625,115.75,72.3125,121.0,-63.0,24.0
 1297148193345,3.9090397,11.536434,2.8738933,16.125,116.25,72.3125,129.0,-67.0,18.0
 1297148193444,6.0882955,9.765789,5.434519,15.375,115.0,72.5625,93.0,-53.0,25.0
 1297148193445,6.0882955,9.765789,5.434519,15.375,115.0,72.5625,93.0,-53.0,25.0
 1297148193495,1.920469,6.973618,2.4925237,15.125,116.0,73.375,128.0,-66.0,15.0
 1297148193545,2.5333846,6.8237944,4.4810944,15.375,116.25,73.625,97.0,-53.0,17.0
 1297148193595,2.5333846,7.4639506,3.445948,17.125,115.75,74.125,105.0,-60.0,17.0
 1297148193646,2.982856,6.701211,2.6423476,18.125,115.25,74.375,111.0,-59.0,22.0
 1297148193709,3.0645783,6.5922484,2.7921712,18.125,114.75,74.375,111.0,-60.0,21.0
 1297148193745,3.214402,7.3958488,2.4516625,18.625,115.5,74.625,117.0,-61.0,22.0
 1297148193795,4.0180025,7.8589406,2.0294318,18.375,114.25,74.625,117.0,-60.0,26.0
 1297148193845,4.4810944,8.689782,1.4982382,17.375,113.25,75.875,118.0,-61.0,27.0
 1297148193895,3.9499009,9.193735,2.1792557,18.375,113.0,76.125,123.0,-64.0,23.0
 1297148193945,5.6660647,10.228881,3.1463003,18.875,113.0,75.125,116.0,-58.0,28.0
 1297148193995,6.0201936,10.732834,3.1054392,18.875,113.25,75.875,115.0,-58.0,28.0
 1297148194045,0.08172209,12.176591,3.9090397,19.875,114.5,75.875,180.0,-72.0,0.0
 1297148194095,-2.1383946,8.730643,3.9499009,20.125,115.25,76.875,231.0,-63.0,-13.0
 1297148194144,-0.88532263,7.246025,3.336985,18.875,117.5625,76.625,250.0,-65.0,-6.0
 1297148194195,2.5333846,7.246025,2.9147544,18.375,118.5625,76.875,171.0,-62.0,18.0
 1297148194280,4.099725,7.504812,-0.29964766,15.875,117.5625,77.4375,119.0,-119.0,29.0
 1297148194294,3.3778462,7.6954966,-0.08172209,15.875,117.8125,77.4375,126.0,-114.0,24.0
 1297148194345,2.152015,7.6954966,1.5390993,15.875,118.8125,76.625,142.0,-71.0,15.0
 1297148194395,3.214402,8.281172,0.84446156,13.8125,117.5625,76.875,140.0,-68.0,21.0
